Method	Run_Number	GIDX	Genes	Total_Genes	ER_coefficient	ER_pvalue	P53_coefficient	P53_pvalue	Grade_coefficient	Grade_pvalue	Count_ER	pvalue_ER	Count_P53	pvalue_P53	Count_Grade	pvalue_Grade
MaxER	1	44,84,289,61,18,40,89,36,14,362,49,81,20,72,97,12,29,6,74,99,4	ABHD10,ACADSB,ADRA1A,ABI3BP,ABCC1,ABCG4,ACAP3,ABCF2,ABCB6,AHCYL2,ABHD14A,ACADL,ABCC11,ABTB2,ACCN2,ABCB4,ABCC9,ABCA7,ACAA2,ACCN4,ABCA5	21	0.713677494405091	1.97369888200364e-32	0.887116197347763	2.11449575665428e-48	-0.0699579884322694	0.335163183995287	0	0	0	0	3	0.03
MinER	1	411,217,289,471,494,432,401,482,400,393,456,489,480,7,195,76,373,180,328,497,490	AKIRIN1,ADAMTS13,ADRA1A,ALKBH3,ALS2,ALAS2,AKAP2,ALOX15,AKAP14,AK5,ALDOB,ALPK2,ALOX12B,ABCA8,ADAM17,ACACB,AIDA,ACVR2A,AGBL3,ALS2CR4,ALPK3	21	-0.733006937587846	2.42494685443525e-116	-0.0485656402134552	0.107228731637243	-0.176634535331427	1.81696049026819e-06	0	0	1	0.01	0	0
MaxP53	1	40,29,289,44,61,18,89,36,14,362,49,81,20,72,97,6,74,84,99,4	ABCG4,ABCC9,ADRA1A,ABHD10,ABI3BP,ABCC1,ACAP3,ABCF2,ABCB6,AHCYL2,ABHD14A,ACADL,ABCC11,ABTB2,ACCN2,ABCA7,ACAA2,ACADSB,ACCN4,ABCA5	20	0.707169560768492	4.65428038674601e-32	0.890713888983479	5.07178461668869e-49	-0.072126873166189	0.319007342355749	0	0	0	0	3	0.03
MaxP53	2	228,12,151,44,6,14,84,20,61,74,89,18,362,40,36,4,81,72,49,99,97,29	ADAMTS9,ABCB4,ACSS3,ABHD10,ABCA7,ABCB6,ACADSB,ABCC11,ABI3BP,ACAA2,ACAP3,ABCC1,AHCYL2,ABCG4,ABCF2,ABCA5,ACADL,ABTB2,ABHD14A,ACCN4,ACCN2,ABCC9	22	0.645119458164206	4.20241730988052e-32	0.814725681156921	2.49113495158307e-49	-0.0571732540968867	0.386187504372331	0	0	0	0	2	0.02
MinP53	2	411,482,85,393,490,7,489,328,456,217,480	AKIRIN1,ALOX15,ACADVL,AK5,ALPK3,ABCA8,ALPK2,AGBL3,ALDOB,ADAMTS13,ALOX12B	11	-0.679846133869114	2.59704260134063e-118	-0.0693164969141672	0.0123623718676103	-0.148103593178415	1.31192032526685e-05	0	0	0	0	0	0
MinGrade	2	228,401,31,471,195,217,490,393,489,432,494,180,480,328,400,373,497,76,482	ADAMTS9,AKAP2,ABCD2,ALKBH3,ADAM17,ADAMTS13,ALPK3,AK5,ALPK2,ALAS2,ALS2,ACVR2A,ALOX12B,AGBL3,AKAP14,AIDA,ALS2CR4,ACACB,ALOX15	19	-0.646387753307139	1.01296539528064e-115	-0.0403750793714687	0.130026455997163	-0.157303708294564	1.54593332733289e-06	0	0	1	0.01	0	0
MinGrade	3	14,29,74,4,6	ABCB6,ABCC9,ACAA2,ABCA5,ABCA7	5	0.7777064107778	7.04516517841905e-31	0.99262136786214	2.22028455299829e-48	-0.178994008385266	0.0276431774285712	0	0	0	0	1	0.01
MinGrade	4	441,411,447,489,480,432,328,373,497,494,217,7,490,401,180,400,76,471,195,482,393	ALDH1L1,AKIRIN1,ALDH3B2,ALPK2,ALOX12B,ALAS2,AGBL3,AIDA,ALS2CR4,ALS2,ADAMTS13,ABCA8,ALPK3,AKAP2,ACVR2A,AKAP14,ACACB,ALKBH3,ADAM17,ALOX15,AK5	21	-0.664616007896706	4.79522677576927e-116	-0.0386178672182403	0.158337671491925	-0.161581902507945	1.52319412296909e-06	0	0	4	0.04	0	0
MinGrade	5	391,456,14,217,494,482,471,180,432,497,328,195,7,76,490,400,480,393,401,373	AK3,ALDOB,ABCB6,ADAMTS13,ALS2,ALOX15,ALKBH3,ACVR2A,ALAS2,ALS2CR4,AGBL3,ADAM17,ABCA8,ACACB,ALPK3,AKAP14,ALOX12B,AK5,AKAP2,AIDA	20	-0.643649999982841	1.18677205411229e-117	-0.0482283670265973	0.066777570834556	-0.154991336185205	1.58836179492709e-06	0	0	3	0.03	0	0
MinGrade	6	55,18,180,471,490,480,497,494,456,76,400,373,482,393,217,411,195,432,401,328	ABHD5,ABCC1,ACVR2A,ALKBH3,ALPK3,ALOX12B,ALS2CR4,ALS2,ALDOB,ACACB,AKAP14,AIDA,ALOX15,AK5,ADAMTS13,AKIRIN1,ADAM17,ALAS2,AKAP2,AGBL3	20	-0.643583025094411	5.18957043395293e-117	-0.0507540722005569	0.0544420943904877	-0.157490587024422	1.16085725079636e-06	0	0	1	0.01	0	0
MinGrade	7	61,74,14,6,97	ABI3BP,ACAA2,ABCB6,ABCA7,ACCN2	5	0.774456630294236	3.11653334445989e-32	0.955628125295978	1.8459330119819e-47	-0.178586022805027	0.0239086743738943	0	0	0	0	0	0
